madvhc,ten,cap,captren
264,Huyện Lương Tài,HUYEN,27
288,Thành phố Hải Dương,HUYEN,30
290,Thị xã Chí Linh,HUYEN,30
291,Huyện Nam Sách,HUYEN,30
292,Huyện Kinh Môn,HUYEN,30
293,Huyện Kim Thành,HUYEN,30
294,Huyện Thanh Hà,HUYEN,30
295,Huyện Cẩm Giàng,HUYEN,30
296,Huyện Bình Giang,HUYEN,30
297,Huyện Gia Lộc,HUYEN,30
298,Huyện Tứ Kỳ,HUYEN,30
299,Huyện Ninh Giang,HUYEN,30
300,Huyện Thanh Miện,HUYEN,30
303,Quận Hồng Bàng,HUYEN,31
304,Quận Ngô Quyền,HUYEN,31
305,Quận Lê Chân,HUYEN,31
306,Quận Hải An,HUYEN,31
307,Quận Kiến An,HUYEN,31
308,Quận Đồ Sơn,HUYEN,31
309,Quận Dương Kinh,HUYEN,31
311,Huyện Thuỷ Nguyên,HUYEN,31
312,Huyện An Dương,HUYEN,31
313,Huyện An Lão,HUYEN,31
314,Huyện Kiến Thuỵ,HUYEN,31
315,Huyện Tiên Lãng,HUYEN,31
316,Huyện Vĩnh Bảo,HUYEN,31
317,Huyện Cát Hải,HUYEN,31
323,Thành phố Hưng Yên,HUYEN,33
325,Huyện Văn Lâm,HUYEN,33
326,Huyện Văn Giang,HUYEN,33
327,Huyện Yên Mỹ,HUYEN,33
328,Huyện Mỹ Hào,HUYEN,33
329,Huyện Ân Thi,HUYEN,33
330,Huyện Khoái Châu,HUYEN,33
331,Huyện Kim Động,HUYEN,33
332,Huyện Tiên Lữ,HUYEN,33
333,Huyện Phù Cừ,HUYEN,33
336,Thành phố Thái Bình,HUYEN,34
338,Huyện Quỳnh Phụ,HUYEN,34
339,Huyện Hưng Hà,HUYEN,34
340,Huyện Đông Hưng,HUYEN,34
341,Huyện Thái Thụy,HUYEN,34
342,Huyện Tiền Hải,HUYEN,34
343,Huyện Kiến Xương,HUYEN,34
344,Huyện Vũ Thư,HUYEN,34
347,Thành phố Phủ Lý,HUYEN,35
349,Huyện Duy Tiên,HUYEN,35
350,Huyện Kim Bảng,HUYEN,35
351,Huyện Thanh Liêm,HUYEN,35
352,Huyện Bình Lục,HUYEN,35
353,Huyện Lý Nhân,HUYEN,35
356,Thành phố Nam Định,HUYEN,36
358,Huyện Mỹ Lộc,HUYEN,36
359,Huyện Vụ Bản,HUYEN,36
360,Huyện Ý Yên,HUYEN,36
361,Huyện Nghĩa Hưng,HUYEN,36
362,Huyện Nam Trực,HUYEN,36
363,Huyện Trực Ninh,HUYEN,36
364,Huyện Xuân Trường,HUYEN,36
365,Huyện Giao Thủy,HUYEN,36
366,Huyện Hải Hậu,HUYEN,36
369,Thành phố Ninh Bình,HUYEN,37
370,Thành phố Tam Điệp,HUYEN,37
372,Huyện Nho Quan,HUYEN,37
373,Huyện Gia Viễn,HUYEN,37
374,Huyện Hoa Lư,HUYEN,37
375,Huyện Yên Khánh,HUYEN,37
376,Huyện Kim Sơn,HUYEN,37
377,Huyện Yên Mô,HUYEN,37
380,Thành phố Thanh Hóa,HUYEN,38
381,Thị xã Bỉm Sơn,HUYEN,38
382,Thị xã Sầm Sơn,HUYEN,38
384,Huyện Mường Lát,HUYEN,38
385,Huyện Quan Hóa,HUYEN,38
386,Huyện Bá Thước,HUYEN,38
387,Huyện Quan Sơn,HUYEN,38
388,Huyện Lang Chánh,HUYEN,38
389,Huyện Ngọc Lặc,HUYEN,38
390,Huyện Cẩm Thủy,HUYEN,38
391,Huyện Thạch Thành,HUYEN,38
392,Huyện Hà Trung,HUYEN,38
393,Huyện Vĩnh Lộc,HUYEN,38
394,Huyện Yên Định,HUYEN,38
395,Huyện Thọ Xuân,HUYEN,38
396,Huyện Thường Xuân,HUYEN,38
397,Huyện Triệu Sơn,HUYEN,38
398,Huyện Thiệu Hóa,HUYEN,38
399,Huyện Hoằng Hóa,HUYEN,38
400,Huyện Hậu Lộc,HUYEN,38
401,Huyện Nga Sơn,HUYEN,38
402,Huyện Như Xuân,HUYEN,38
403,Huyện Như Thanh,HUYEN,38
404,Huyện Nông Cống,HUYEN,38
405,Huyện Đông Sơn,HUYEN,38
406,Huyện Quảng Xương,HUYEN,38
407,Huyện Tĩnh Gia,HUYEN,38
